"id","temp","atemp","windspeed","precipitation","hum","weather_type","season","yr","mnth","day","hr","weekday","classic_bike","electric_bike","casual","registered","cnt"
"2023-1-1-0","10.7","9.3","11.3","1","99",4,1,2023,1,1,0,6,305,576,286,595,881
"2023-1-1-1","10.5","9.5","7.4","1","99",4,1,2023,1,1,1,6,527,1026,524,1029,1553
"2023-1-1-10","9.4","6.6","15.9","0","90",1,1,2023,1,1,10,6,920,812,357,1375,1732
"2023-1-1-11","10.5","7.6","16.1","0","84",1,1,2023,1,1,11,6,1224,1241,678,1787,2465
"2023-1-1-12","10.8","7.4","17.3","0","74",1,1,2023,1,1,12,6,1662,1617,962,2317,3279
"2023-1-1-13","11.4","7.9","16.6","0","68",1,1,2023,1,1,13,6,2052,1973,1321,2704,4025
"2023-1-1-14","11.7","7.9","17.4","0","61",1,1,2023,1,1,14,6,2431,2295,1639,3087,4726
"2023-1-1-15","11.8","8","15.9","0","57",1,1,2023,1,1,15,6,2475,2625,1821,3279,5100
"2023-1-1-16","11.6","8.2","12.6","0","56",1,1,2023,1,1,16,6,2461,2520,1787,3194,4981
"2023-1-1-17","10.1","7.7","6.1","0","65",1,1,2023,1,1,17,6,1788,2109,1261,2636,3897
"2023-1-1-18","6.9","3.9","9.5","0","76",1,1,2023,1,1,18,6,1265,1710,859,2116,2975
"2023-1-1-19","5.3","2.2","9.4","0","83",1,1,2023,1,1,19,6,874,1465,618,1721,2339
"2023-1-1-2","10.4","8.6","13.1","0.1","98",3,1,2023,1,1,2,6,559,1155,642,1072,1714
"2023-1-1-20","4.8","1.7","9.5","0","82",1,1,2023,1,1,20,6,709,1254,538,1425,1963
"2023-1-1-21","6","2.8","11.9","0","83",1,1,2023,1,1,21,6,576,955,415,1116,1531
"2023-1-1-22","5","2.3","7.2","0","86",1,1,2023,1,1,22,6,511,859,416,954,1370
"2023-1-1-23","5.7","3.1","7","0","83",1,1,2023,1,1,23,6,381,728,339,770,1109
"2023-1-1-3","10.3","8","16","0","96",1,1,2023,1,1,3,6,412,836,483,765,1248
"2023-1-1-4","9.7","7.1","16","0","95",1,1,2023,1,1,4,6,205,486,277,414,691
"2023-1-1-5","9","6.3","15.8","0","95",1,1,2023,1,1,5,6,107,237,108,236,344
"2023-1-1-6","8.5","5.6","15.9","0","94",1,1,2023,1,1,6,6,116,238,81,273,354
"2023-1-1-7","7.8","5.1","13.2","0","94",1,1,2023,1,1,7,6,161,278,77,362,439
"2023-1-1-8","6.6","4.2","10.5","0","97",1,1,2023,1,1,8,6,310,372,99,583,682
"2023-1-1-9","7.9","5.4","11.9","0","94",1,1,2023,1,1,9,6,540,583,203,920,1123
"2023-1-10-0","1.1","-3.6","14.6","0","69",1,1,2023,1,10,0,1,158,346,96,408,504
"2023-1-10-1","0.8","-3.7","12.7","0","69",1,1,2023,1,10,1,1,96,228,78,246,324
"2023-1-10-10","2.5","-1","8.1","0","75",1,1,2023,1,10,10,1,1467,1185,237,2415,2652
"2023-1-10-11","3.8","0.2","8.9","0","69",1,1,2023,1,10,11,1,1364,1159,253,2270,2523
"2023-1-10-12","5","1.1","11.1","0","62",1,1,2023,1,10,12,1,1398,1284,306,2376,2682
"2023-1-10-13","5.7","1.4","13.3","0","59",1,1,2023,1,10,13,1,1507,1354,292,2569,2861
"2023-1-10-14","6","1.5","14.3","0","55",1,1,2023,1,10,14,1,1644,1774,411,3007,3418
"2023-1-10-15","6.2","1.7","14.2","0","54",1,1,2023,1,10,15,1,1863,2170,462,3571,4033
"2023-1-10-16","6","1.8","12","0","54",1,1,2023,1,10,16,1,2285,2604,559,4330,4889
"2023-1-10-17","5.6","2","8.1","0","58",1,1,2023,1,10,17,1,3219,3190,536,5873,6409
"2023-1-10-18","4.3","1","5.9","0","62",1,1,2023,1,10,18,1,3391,3035,533,5893,6426
"2023-1-10-19","3.9","0.4","7.4","0","63",1,1,2023,1,10,19,1,2343,2206,474,4075,4549
"2023-1-10-2","0.2","-4.1","11.2","0","71",1,1,2023,1,10,2,1,49,142,33,158,191
"2023-1-10-20","2.8","-1.2","9.6","0","63",1,1,2023,1,10,20,1,1613,1556,379,2790,3169
"2023-1-10-21","2.9","-1.1","9.2","0","63",1,1,2023,1,10,21,1,1039,1115,250,1904,2154
"2023-1-10-22","1.6","-1.8","5.9","0","71",1,1,2023,1,10,22,1,696,855,202,1349,1551
"2023-1-10-23","0.9","-2.5","5.9","0","77",1,1,2023,1,10,23,1,440,625,184,881,1065
"2023-1-10-3","0.1","-4.3","11.4","0","71",1,1,2023,1,10,3,1,48,68,14,102,116
"2023-1-10-4","0","-4.2","10.1","0","72",1,1,2023,1,10,4,1,61,92,30,123,153
"2023-1-10-5","0.2","-4","10.1","0","72",1,1,2023,1,10,5,1,260,356,39,577,616
"2023-1-10-6","0.2","-4","10.8","0","73",1,1,2023,1,10,6,1,788,980,112,1656,1768
"2023-1-10-7","0.2","-3.7","8.4","0","76",1,1,2023,1,10,7,1,1891,1982,214,3659,3873
"2023-1-10-8","0.2","-3.1","5.8","0","83",1,1,2023,1,10,8,1,3473,2800,395,5878,6273
"2023-1-10-9","1.4","-2.2","8.8","0","79",1,1,2023,1,10,9,1,2622,1843,342,4123,4465
"2023-1-11-0","0.9","-2.7","7.3","0","78",1,1,2023,1,11,0,2,245,358,81,522,603
"2023-1-11-1","0.6","-3.3","9.1","0","76",1,1,2023,1,11,1,2,121,200,54,267,321
"2023-1-11-10","0.6","-3.4","9.4","0","71",1,1,2023,1,11,10,2,1601,1212,255,2558,2813
"2023-1-11-11","1.7","-2.2","9.2","0","66",1,1,2023,1,11,11,2,1377,1173,272,2278,2550
"2023-1-11-12","2.6","-1.6","10.2","0","62",1,1,2023,1,11,12,2,1523,1292,283,2532,2815
"2023-1-11-13","3.4","-0.6","8.5","0","56",1,1,2023,1,11,13,2,1644,1492,335,2801,3136
"2023-1-11-14","3.6","-0.4","9","0","54",1,1,2023,1,11,14,2,1697,1823,428,3092,3520
"2023-1-11-15","3.8","-0.3","9.4","0","54",1,1,2023,1,11,15,2,1883,2173,433,3623,4056
"2023-1-11-16","3.6","-0.3","8","0","54",1,1,2023,1,11,16,2,2300,2476,461,4315,4776
"2023-1-11-17","3.1","-0.7","7","0","56",1,1,2023,1,11,17,2,3293,3165,571,5887,6458
"2023-1-11-18","1.7","-2","6.7","0","64",1,1,2023,1,11,18,2,3419,2833,556,5696,6252
"2023-1-11-19","1","-2.8","7.1","0","67",1,1,2023,1,11,19,2,2415,2098,409,4104,4513
"2023-1-11-2","0.6","-3.8","11.9","0","72",1,1,2023,1,11,2,2,74,133,39,168,207
"2023-1-11-20","0.7","-3.4","9.9","0","70",1,1,2023,1,11,20,2,1476,1362,238,2600,2838
"2023-1-11-21","0.7","-3.4","10.1","0","71",1,1,2023,1,11,21,2,974,1118,206,1886,2092
"2023-1-11-22","0.2","-3.6","8.4","0","76",1,1,2023,1,11,22,2,802,877,206,1473,1679
"2023-1-11-23","-0.5","-4.2","8","0","80",1,1,2023,1,11,23,2,448,643,138,953,1091
"2023-1-11-3","-0.5","-4.8","11.9","0","78",1,1,2023,1,11,3,2,57,78,29,106,135
"2023-1-11-4","-1.3","-5.4","10.1","0","79",1,1,2023,1,11,4,2,76,105,22,159,181
"2023-1-11-5","-1.2","-5.7","11.7","0","77",1,1,2023,1,11,5,2,254,330,29,555,584
"2023-1-11-6","-0.9","-5.7","13.5","0","74",1,1,2023,1,11,6,2,823,920,126,1617,1743
"2023-1-11-7","-1.1","-5.9","13.8","0","73",1,1,2023,1,11,7,2,1885,1929,215,3599,3814
"2023-1-11-8","-0.6","-4.7","10","0","75",1,1,2023,1,11,8,2,3536,2769,348,5957,6305
"2023-1-11-9","-0.4","-4.4","8.7","0","76",1,1,2023,1,11,9,2,2740,1874,281,4333,4614
"2023-1-12-0","-0.6","-4.3","8.3","0","82",1,1,2023,1,12,0,3,257,406,94,569,663
"2023-1-12-1","-0.7","-4.6","9.4","0","85",1,1,2023,1,12,1,3,105,211,58,258,316
"2023-1-12-10","4.6","1.3","13","0.3","95",3,1,2023,1,12,10,3,1257,1146,194,2209,2403
"2023-1-12-11","5.6","2.6","12.1","0.4","96",3,1,2023,1,12,11,3,1133,1129,203,2059,2262
"2023-1-12-12","6.7","3.9","12.6","0.2","96",3,1,2023,1,12,12,3,1438,1334,309,2463,2772
"2023-1-12-13","6.9","4.1","12.3","0.1","94",3,1,2023,1,12,13,3,1574,1488,342,2720,3062
"2023-1-12-14","8.9","5.7","16","0","87",1,1,2023,1,12,14,3,1642,1838,410,3070,3480
"2023-1-12-15","9.3","5.7","19.2","0","83",1,1,2023,1,12,15,3,1952,2279,489,3742,4231
"2023-1-12-16","9.2","5.4","20.5","0","83",1,1,2023,1,12,16,3,2264,2502,517,4249,4766
"2023-1-12-17","9.5","5.6","21","0","82",1,1,2023,1,12,17,3,3297,2797,614,5480,6094
"2023-1-12-18","9","5.4","20.4","0.2","88",3,1,2023,1,12,18,3,1091,1273,231,2133,2364
"2023-1-12-19","8.7","5.8","16.3","2.3","93",3,1,2023,1,12,19,3,1091,1274,177,2188,2365
"2023-1-12-2","-0.6","-4.5","9.8","0","88",1,1,2023,1,12,2,3,77,154,45,186,231
"2023-1-12-20","8.6","5.6","16.4","0.3","95",3,1,2023,1,12,20,3,767,917,174,1510,1684
"2023-1-12-21","9.4","8.2","7.1","6.1","97",3,1,2023,1,12,21,3,604,862,149,1317,1466
"2023-1-12-22","9.2","7.9","6.6","0.6","97",3,1,2023,1,12,22,3,657,796,186,1267,1453
"2023-1-12-23","9.6","7.8","10.5","0.8","94",3,1,2023,1,12,23,3,440,627,158,909,1067
"2023-1-12-3","0","-3.7","9.6","0","88",1,1,2023,1,12,3,3,47,101,26,122,148
"2023-1-12-4","0","-3.7","9.7","0","89",1,1,2023,1,12,4,3,65,112,33,144,177
"2023-1-12-5","0.1","-3.4","8.2","0","90",1,1,2023,1,12,5,3,230,376,48,558,606
"2023-1-12-6","0.9","-2.8","10.5","0","89",1,1,2023,1,12,6,3,505,638,65,1078,1143
"2023-1-12-7","2.7","-1","11.5","0.1","85",3,1,2023,1,12,7,3,1155,1478,174,2459,2633
"2023-1-12-8","2.8","-0.3","8.6","0.1","94",3,1,2023,1,12,8,3,1472,1752,194,3030,3224
"2023-1-12-9","3.7","0.7","9.9","0.4","94",3,1,2023,1,12,9,3,1512,1344,183,2673,2856
"2023-1-13-0","10.6","8.3","15.5","0.2","95",3,1,2023,1,13,0,4,300,467,140,627,767
"2023-1-13-1","10.7","8.4","15.5","0","94",1,1,2023,1,13,1,4,75,167,55,187,242
"2023-1-13-10","10.8","8.5","15.3","0.2","94",3,1,2023,1,13,10,4,1636,1406,324,2718,3042
"2023-1-13-11","11.9","9.2","20.1","0","91",1,1,2023,1,13,11,4,1622,1394,384,2632,3016
"2023-1-13-12","12.4","9.9","18.4","0","87",1,1,2023,1,13,12,4,2025,1666,506,3185,3691
"2023-1-13-13","12.2","9.6","17.4","0.1","84",3,1,2023,1,13,13,4,2143,2006,588,3561,4149
"2023-1-13-14","12.6","9.9","17.1","0","79",1,1,2023,1,13,14,4,2200,2242,633,3809,4442
"2023-1-13-15","9.5","4.2","26.7","0.1","70",3,1,2023,1,13,15,4,2375,2665,668,4372,5040
"2023-1-13-16","8","3.1","21.6","0","67",1,1,2023,1,13,16,4,2673,2595,633,4635,5268
"2023-1-13-17","6.9","1.5","22.4","0","60",1,1,2023,1,13,17,4,3065,2588,561,5092,5653
"2023-1-13-18","5.6","-0.1","23.2","0","59",1,1,2023,1,13,18,4,2642,2297,562,4377,4939
"2023-1-13-19","4.3","-1.2","21.2","0","61",1,1,2023,1,13,19,4,2102,1829,513,3418,3931
"2023-1-13-2","12.1","8.1","27.1","0","86",1,1,2023,1,13,2,4,79,177,33,223,256
"2023-1-13-20","3.6","-1.5","18.2","0","64",1,1,2023,1,13,20,4,1303,1474,344,2433,2777
"2023-1-13-21","3.8","-1.8","20.6","0","60",1,1,2023,1,13,21,4,876,1050,255,1671,1926
"2023-1-13-22","3.4","-2.4","21.7","0","59",1,1,2023,1,13,22,4,727,884,244,1367,1611
"2023-1-13-23","3","-3","22.4","0","58",1,1,2023,1,13,23,4,619,808,254,1173,1427
"2023-1-13-3","11.7","8","26.3","0.2","92",3,1,2023,1,13,3,4,56,128,43,141,184
"2023-1-13-4","11.7","8","26.1","0.1","91",3,1,2023,1,13,4,4,74,105,31,148,179
"2023-1-13-5","11.2","8.1","21.6","0.2","94",3,1,2023,1,13,5,4,215,303,41,477,518
"2023-1-13-6","11.4","8.2","22","0","89",1,1,2023,1,13,6,4,459,581,78,962,1040
"2023-1-13-7","11.1","7.4","23.9","0","87",1,1,2023,1,13,7,4,1140,1439,166,2413,2579
"2023-1-13-8","10.1","7.4","17.1","0.1","94",3,1,2023,1,13,8,4,2316,2231,317,4230,4547
"2023-1-13-9","11.1","8.6","17.1","0.4","92",3,1,2023,1,13,9,4,2139,1802,310,3631,3941
